COD_MUNIC_IBGE,MUNIC_PROPONENTE,UF_PROPONENTE,IDENTIF_FORNECEDOR,count,soma_por_fornecedor
1100098,ESPIGAO D'OESTE,RO,03552842000144,1,25150.0
1100098,ESPIGAO D'OESTE,RO,03614482000168,2,248800.0
1100098,ESPIGAO D'OESTE,RO,05043720000158,3,59210.0
1100098,ESPIGAO D'OESTE,RO,05222638000190,3,489850.06
1100098,ESPIGAO D'OESTE,RO,05708193000153,6,489032.43000000005
1100098,ESPIGAO D'OESTE,RO,05887870000148,4,77152.4
1100098,ESPIGAO D'OESTE,RO,07066257000195,1,45e3
1100098,ESPIGAO D'OESTE,RO,07103838000150,6,376278.01
1100098,ESPIGAO D'OESTE,RO,07291942000115,1,8960.0
1100098,ESPIGAO D'OESTE,RO,07311820000143,7,731296.01
1100098,ESPIGAO D'OESTE,RO,07347114000151,1,58760.0
1100098,ESPIGAO D'OESTE,RO,07387935000111,1,169200.0
1100098,ESPIGAO D'OESTE,RO,09497648000190,3,19e3
1100098,ESPIGAO D'OESTE,RO,10250636000145,1,79200.0
1100098,ESPIGAO D'OESTE,RO,10576469000127,8,608790.72
1100098,ESPIGAO D'OESTE,RO,10726497000183,5,52545.7
1100098,ESPIGAO D'OESTE,RO,10948730000172,16,810340.04
1100098,ESPIGAO D'OESTE,RO,13299866000197,2,8028.0
1100098,ESPIGAO D'OESTE,RO,14568575000110,1,19310.0
1100098,ESPIGAO D'OESTE,RO,14594006000149,2,200799.0
1100098,ESPIGAO D'OESTE,RO,14594006000300,1,213990.0
1100098,ESPIGAO D'OESTE,RO,15359395000190,1,259329.0
1100098,ESPIGAO D'OESTE,RO,16631876000176,6,88997.5
1100098,ESPIGAO D'OESTE,RO,16958226000130,3,229806.55
1100098,ESPIGAO D'OESTE,RO,19344375000105,9,526423.45
1100098,ESPIGAO D'OESTE,RO,19463133000122,4,136e3
1100098,ESPIGAO D'OESTE,RO,58343864000196,1,119999.0
1100114,JARU,RO,00940956000173,2,549e3
1100114,JARU,RO,03552842000144,3,64430.0
1100114,JARU,RO,03809314000128,1,26800.0
1100114,JARU,RO,03968287000217,1,43e3
1100114,JARU,RO,03972822000122,1,155990.0
1100114,JARU,RO,04115616000169,1,6018.0
1100114,JARU,RO,04233798000172,7,482580.93
1100114,JARU,RO,04702450000187,1,94390.0
1100114,JARU,RO,04910717000121,1,185890.0
1100114,JARU,RO,05043720000158,5,96634.0
1100114,JARU,RO,05062571000174,1,84e3
1100114,JARU,RO,05163253000108,1,209e3
1100114,JARU,RO,05255167000117,2,57502.5
1100114,JARU,RO,05560438000148,1,2860.0
1100114,JARU,RO,05797417000140,3,56410.0
1100114,JARU,RO,06067041000181,1,8e4
1100114,JARU,RO,07103838000150,6,1239833.28
1100114,JARU,RO,07868496000169,2,13713.0
1100114,JARU,RO,08440584000128,2,209999.0
1100114,JARU,RO,08939138000162,1,13494.0
1100114,JARU,RO,09472138000168,1,3717.0
1100114,JARU,RO,09814698000153,1,2910.0
1100114,JARU,RO,10576469000127,14,1605574.1300000001
1100114,JARU,RO,11262473000183,1,269685.0
1100114,JARU,RO,11463875000146,2,482914.47
1100114,JARU,RO,13193395000138,1,883.5
1100114,JARU,RO,14047038000124,1,58440.0
1100114,JARU,RO,14594006000149,4,848e3
1100114,JARU,RO,14952740000132,5,169261.38
1100114,JARU,RO,18711202000107,2,414650.94999999995
1100114,JARU,RO,19614838000101,1,81550.0
1100114,JARU,RO,34727776000120,6,226040.81
1100114,JARU,RO,60850617000128,1,328680.0
1100114,JARU,RO,72464332000138,1,4709.0
1100114,JARU,RO,89460331000118,3,252728.0
1100114,JARU,RO,92823764000103,1,3613.35
1100122,JI-PARANA,RO,00598767000164,1,21e4
1100122,JI-PARANA,RO,00940956000173,1,293e3
1100122,JI-PARANA,RO,01824931000177,1,115e3
1100122,JI-PARANA,RO,01844555000506,1,359500.0
1100122,JI-PARANA,RO,02814328000177,11,2513421.34
1100122,JI-PARANA,RO,02990234000159,1,249277.0
1100122,JI-PARANA,RO,03092548000105,7,597799.28
1100122,JI-PARANA,RO,03483599000150,1,86500.0
1100122,JI-PARANA,RO,03651923000100,1,25450.0
1100122,JI-PARANA,RO,03726089000166,1,174e3
1100122,JI-PARANA,RO,03773683000108,3,120339.0
1100122,JI-PARANA,RO,04420916001204,2,60988.13
1100122,JI-PARANA,RO,04596384000108,10,3474727.77
1100122,JI-PARANA,RO,04910717000121,5,1028600.0
1100122,JI-PARANA,RO,05043720000158,4,168869.0
1100122,JI-PARANA,RO,05255167000117,1,10120.0
1100122,JI-PARANA,RO,05458908000167,4,344304.95
1100122,JI-PARANA,RO,05659781000144,12,2854309.84
1100122,JI-PARANA,RO,05681325000109,13,1074774.44
1100122,JI-PARANA,RO,05785480000167,5,594645.19
1100122,JI-PARANA,RO,05880596000185,2,245300.0
1100122,JI-PARANA,RO,06911404000113,1,17e4
1100122,JI-PARANA,RO,07207744000120,1,85695.0
1100122,JI-PARANA,RO,07347114000151,1,22250.0
1100122,JI-PARANA,RO,08156871000100,1,59523.36
1100122,JI-PARANA,RO,08307727000209,1,11325.0
1100122,JI-PARANA,RO,09027990000126,2,108305.65999999999
1100122,JI-PARANA,RO,09355594000128,2,15033.27
1100122,JI-PARANA,RO,10655567000150,7,326230.97
1100122,JI-PARANA,RO,10752410000142,8,733674.8200000001
1100122,JI-PARANA,RO,11655646000123,1,85999.99
1100122,JI-PARANA,RO,12859131000108,1,105576.0
1100122,JI-PARANA,RO,12934489000158,28,3158590.63
1100122,JI-PARANA,RO,13536161000146,3,160612.33
1100122,JI-PARANA,RO,15379145000112,5,210574.21
1100122,JI-PARANA,RO,16657196000121,1,29170.0
1100122,JI-PARANA,RO,17229462000188,8,1766988.15
1100122,JI-PARANA,RO,17567352000126,5,343254.35
1100122,JI-PARANA,RO,19614838000101,1,92999.99
1100122,JI-PARANA,RO,20754249000108,4,504225.9
1100122,JI-PARANA,RO,22881858000145,3,208117.3
1100122,JI-PARANA,RO,34466706000165,10,823162.58
1100122,JI-PARANA,RO,60850617000128,7,2746175.0
1100122,JI-PARANA,RO,79131918000120,2,205e3
1100122,JI-PARANA,RO,84593342000152,9,882382.38
1100122,JI-PARANA,RO,84596261000106,9,1551475.08
1100122,JI-PARANA,RO,84615772000128,11,1043592.08
1100122,JI-PARANA,RO,87175824000180,1,174e3
1100122,JI-PARANA,RO,95863684000161,8,945295.98
1100130,MACHADINHO D'OESTE,RO,00624596000109,1,129e3
1100130,MACHADINHO D'OESTE,RO,00995371000150,1,1567.2
1100130,MACHADINHO D'OESTE,RO,01718406000177,6,549977.37
1100130,MACHADINHO D'OESTE,RO,01886531000196,5,225645.41999999998
1100130,MACHADINHO D'OESTE,RO,02159691000104,1,9250.0
1100130,MACHADINHO D'OESTE,RO,02176223000210,1,19400.0
1100130,MACHADINHO D'OESTE,RO,02614637000101,3,10556.0
1100130,MACHADINHO D'OESTE,RO,03552842000144,17,691356.0
1100130,MACHADINHO D'OESTE,RO,03760636000120,6,273211.43
1100130,MACHADINHO D'OESTE,RO,04167190000197,2,11320.0
1100130,MACHADINHO D'OESTE,RO,04910717000121,1,235750.0
1100130,MACHADINHO D'OESTE,RO,05043720000158,5,56650.0
1100130,MACHADINHO D'OESTE,RO,05163253000108,2,39e4
1100130,MACHADINHO D'OESTE,RO,05794872000192,6,1644958.74
1100130,MACHADINHO D'OESTE,RO,06067041000181,4,388600.0
1100130,MACHADINHO D'OESTE,RO,06087679000184,1,11100.0
1100130,MACHADINHO D'OESTE,RO,06233460000146,2,10784.5
1100130,MACHADINHO D'OESTE,RO,07314584000119,7,357684.61
1100130,MACHADINHO D'OESTE,RO,07672177000183,5,8132.5
1100130,MACHADINHO D'OESTE,RO,08440584000128,1,139919.52
1100130,MACHADINHO D'OESTE,RO,09061470000130,1,101700.0
