cidade,UF,gini_valor_convenio,gini_valor_fornecedor,coef
SANTO ESTEVAO,BA,0.344144307476022,0.5897778192327916,1.7137514886073888
SAO DOMINGOS,BA,0.3422295505046331,0.3858979732739647,1.127599801668034
SAO FELIPE,BA,0.26695349986411054,0.3974838394885756,1.4889628331934586
SAO SEBASTIAO DO PASSE,BA,0.4117702478071128,0.7331058008516775,1.78037584006091
SEBASTIAO LARANJEIRAS,BA,0.32457068396514543,0.36099370349629156,1.1122190676193586
SENHOR DO BONFIM,BA,0.2375622262113546,0.5546191814027548,2.334626974363006
SERRA DO RAMALHO,BA,0.2734573764709798,0.4390720892173168,1.6056326396589728
SERRA PRETA,BA,0.25611145998367846,0.5620575027769816,2.1945816200993136
SOBRADINHO,BA,0.3526257820479084,0.47940405408463294,1.3595263831828956
TANQUE NOVO,BA,0.3157709494669625,0.587770790289798,1.8613833580384298
UBAIRA,BA,0.2876318254516148,0.3975353325017279,1.3820978672215845
URANDI,BA,0.3049482328138069,0.43200596069527286,1.416653432318934
VALENTE,BA,0.4189620300469652,0.4721704593979219,1.1270006003765833
VITORIA DA CONQUISTA,BA,0.44020449835285724,0.8995389888138461,2.0434570572988497
WENCESLAU GUIMARAES,BA,0.4361200766897708,0.4715492956870351,1.0812373034192289
ACOPIARA,CE,0.3054536454217347,0.3776519399464866,1.2363641606734435
ARARIPE,CE,0.3406381464705013,0.6064903460338806,1.7804533999435725
BARBALHA,CE,0.3230059580379372,0.5751769313259207,1.7807006868225197
BARROQUINHA,CE,0.33683006389751746,0.6159317519987955,1.8286127576373241
BEBERIBE,CE,0.30604116210884014,0.48723713453261563,1.5920640582306218
BREJO SANTO,CE,0.3232849343582487,0.5428372851123902,1.6791295461694613
CAMOCIM,CE,0.31526913501422804,0.4739865369284364,1.5034346350049315
CAMPOS SALES,CE,0.17449335952771827,0.4579134436698329,2.62424567278214
CARIRE,CE,0.5024518862259957,0.5395611946982011,1.0738564417599064
CARIRIACU,CE,0.47148685517954725,0.3504270393718456,0.7432381953435355
CASCAVEL,CE,0.34948267663956845,0.5458262449004763,1.5618120192646991
CATARINA,CE,0.2897094554227646,0.4845691949028068,1.6726040031924019
COREAU,CE,0.4081140029758563,0.6543677957784755,1.6033946176975147
CRATEUS,CE,0.2878434242992931,0.6047712168551365,2.1010423230176314
CROATA,CE,0.30407535964387744,0.3045851050980519,1.0016763786936616
CRUZ,CE,0.4455153228112039,0.7308656073594078,1.6404948829765096
DEPUTADO IRAPUAN PINHEIRO,CE,0.2551740764195656,0.3173224839586388,1.2435529831677996
FARIAS BRITO,CE,0.27270117271518046,0.42913739195541334,1.5736543692960971
FORQUILHA,CE,0.3557371604389914,0.4359538326771959,1.2254942164018359
FORTALEZA,CE,0.508434445929943,0.8670359038846787,1.7053051987829857
FRECHEIRINHA,CE,0.17385800963618658,0.4592769579471929,2.6416784530564397
GRANJA,CE,0.26446559822165217,0.5725765014339217,2.1650320695171765
GROAIRAS,CE,0.3263711407794698,0.5915576287668152,1.8125304441869534
HIDROLANDIA,CE,0.2074536927133388,0.55401841010265,2.6705642249916326
HORIZONTE,CE,0.2941695278088474,0.7104094818609217,2.4149662514417494
IGUATU,CE,0.4335460044863879,0.7939050607239018,1.8311898910576354
IRACEMA,CE,0.23414480779978852,0.6354853178333499,2.714069655461836
IRAUCUBA,CE,0.370191697023194,0.576624557683254,1.5576377382854327
ITAITINGA,CE,0.3928914722871162,0.5500341300992035,1.399964542109611
ITAPIPOCA,CE,0.49341565584335845,0.5329934283304585,1.08021182955667
ITAREMA,CE,0.33957842874209376,0.44254676443292595,1.303224018298982
ITATIRA,CE,0.28808885925862704,0.427669603574905,1.48450587320689
JAGUARIBE,CE,0.3781496662472805,0.5401468431492833,1.4283943405521062
JUAZEIRO DO NORTE,CE,0.3730362226792385,0.7472251935326355,2.0030901775861847
MARACANAU,CE,0.42610589834174384,0.8144124198854295,1.911291120481645
MARANGUAPE,CE,0.4355017157034533,0.7875210626560927,1.808307600772669
MERUOCA,CE,0.3286863323066074,0.5377475902718283,1.6360509623205233
MILAGRES,CE,0.2662137189308176,0.3120105308848258,1.172030247494156
MILHA,CE,0.3463314543770206,0.38793573392984815,1.1201285041454438
MIRAIMA,CE,0.33150617137486815,0.7860398485085742,2.3711167887119604
MISSAO VELHA,CE,0.30095739122998433,0.38824621914790436,1.2900371629391751
MORRINHOS,CE,0.4072442292695224,0.6873820364102157,1.6878864990749627
NOVO ORIENTE,CE,0.2783826823094109,0.41625143385090935,1.495249023386674
OCARA,CE,0.29396258465353675,0.6561128809836063,2.231960512107004
PARACURU,CE,0.4039548742423644,0.569010169266581,1.4085983498374297
PARAMBU,CE,0.36664363262420974,0.5247452854094306,1.4312134146545143
PEDRA BRANCA,CE,0.5267663912684495,0.7522696215948195,1.428089631503179
PENAFORTE,CE,0.41842634882076957,0.37589160903118213,0.8983459337361019
PENTECOSTE,CE,0.266005439538068,0.5640260547018021,2.120355341910534
PINDORETAMA,CE,0.26695729219812003,0.38145974959374884,1.4289167621263248
PIQUET CARNEIRO,CE,0.22458238644971695,0.7482260962032852,3.331633028001552
QUIXERAMOBIM,CE,0.4727228541088153,0.6482718343936456,1.3713570832444266
RUSSAS,CE,0.33671990099606086,0.5198479451257088,1.5438586896347128
SABOEIRO,CE,0.2811989819944758,0.33194223619739405,1.1804531931197215
SALITRE,CE,0.2590932955344334,0.4404831526904669,1.7000947546013474
SANTANA DO ACARAU,CE,0.31110034833694655,0.5249985955179253,1.687553865897025
SOBRAL,CE,0.5295461265853039,0.8349898577858283,1.5768028805538263
SOLONOPOLE,CE,0.22714253097945614,0.5772142266970754,2.5411983577363655
TAUA,CE,0.37769289011601703,0.7499370818553652,1.9855737332651533
TEJUCUOCA,CE,0.3273733647421908,0.5774420259278568,1.7638637962578203
